Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,TotalIncome,LogIncome,LogLoanAmount,EMI,LoanToIncomeRatio,IncomePerDependent,Gender_Male,Married_Yes,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_Y
0,5849,0.0,128.0,360.0,1.0,5849.0,8.674196940225903,4.859812404361672,0.35555555555555557,0.021884082749187895,5849.0,True,False,False,False,False,True,True
1,4583,1508.0,128.0,360.0,1.0,6091.0,8.714731714015052,4.859812404361672,0.35555555555555557,0.0210146117222131,3045.5,True,True,False,False,False,False,False
0,3000,0.0,66.0,360.0,1.0,3000.0,8.006700845440367,4.204692619390966,0.18333333333333332,0.022,3000.0,True,True,False,True,False,True,True
0,2583,2358.0,120.0,360.0,1.0,4941.0,8.505525386548555,4.795790545596741,0.3333333333333333,0.024286581663630843,4941.0,True,True,True,False,False,True,True
0,6000,0.0,141.0,360.0,1.0,6000.0,8.699681400989514,4.955827057601261,0.39166666666666666,0.0235,6000.0,True,False,False,False,False,True,True
2,5417,4196.0,267.0,360.0,1.0,9613.0,9.170975648453906,5.5909869805108565,0.7416666666666667,0.027774888172266723,3204.3333333333335,True,True,False,True,False,True,True
0,2333,1516.0,95.0,360.0,1.0,3849.0,8.25582842728183,4.564348191467836,0.2638888888888889,0.024681735515718367,3849.0,True,True,True,False,False,True,True
3,3036,2504.0,158.0,360.0,0.0,5540.0,8.61993026886735,5.0689042022202315,0.4388888888888889,0.02851985559566787,1385.0,True,True,False,False,True,False,False
2,4006,1526.0,168.0,360.0,1.0,5532.0,8.618485442898109,5.1298987149230735,0.4666666666666667,0.03036876355748373,1844.0,True,True,False,False,False,True,True
1,12841,10968.0,349.0,360.0,1.0,23809.0,10.077860939480908,5.857933154483459,0.9694444444444444,0.014658322483094628,11904.5,True,True,False,False,True,False,False
2,3200,700.0,70.0,360.0,1.0,3900.0,8.268988209506656,4.2626798770413155,0.19444444444444445,0.017948717948717947,1300.0,True,True,False,False,False,True,True
2,2500,1840.0,109.0,360.0,1.0,4340.0,8.375860015299594,4.700480365792417,0.30277777777777776,0.02511520737327189,1446.6666666666667,True,True,False,False,False,True,True
2,3073,8106.0,200.0,360.0,1.0,11179.0,9.32188174670909,5.303304908059076,0.5555555555555556,0.01789068789694964,3726.3333333333335,True,True,False,False,False,True,True
0,1853,2840.0,114.0,360.0,1.0,4693.0,8.454040376410969,4.74493212836325,0.31666666666666665,0.024291497975708502,4693.0,True,False,False,False,False,False,False
2,1299,1086.0,17.0,120.0,1.0,2385.0,7.777373602657861,2.8903717578961645,0.14166666666666666,0.007127882599580713,795.0,True,True,False,False,False,True,True
0,4950,0.0,125.0,360.0,1.0,4950.0,8.507344855361422,4.836281906951478,0.3472222222222222,0.025252525252525252,4950.0,True,False,False,False,False,True,True
1,3596,0.0,100.0,240.0,1.0,3596.0,8.187855443695623,4.61512051684126,0.4166666666666667,0.027808676307007785,1798.0,True,False,True,False,False,True,True
0,3510,0.0,76.0,360.0,0.0,3510.0,8.163656176168432,4.343805421853684,0.2111111111111111,0.021652421652421653,3510.0,False,False,False,False,False,True,False
0,4887,0.0,133.0,360.0,1.0,4887.0,8.494538500851432,4.897839799950911,0.36944444444444446,0.027215060364231634,4887.0,True,True,True,False,False,False,False
0,2600,3500.0,115.0,360.0,1.0,6100.0,8.716207971151853,4.7535901911063645,0.3194444444444444,0.018852459016393444,6100.0,True,True,False,False,False,True,True
